s0,action,reward,s2_0,done
-1.0592557096648565,-1,-2.032839230487058,-2.032839230487058,0
-2.032839230487058,-1,-3.079281278196654,-3.079281278196654,0
-3.079281278196654,1,-1.9958710698092268,-1.9958710698092268,0
-1.9958710698092268,-1,-3.052347213470454,-3.052347213470454,0
-3.052347213470454,-1,-3.9015847822028844,-3.9015847822028844,0
-3.9015847822028844,1,-2.992705675082159,-2.992705675082159,0
-2.992705675082159,1,-1.9384001704767284,-1.9384001704767284,0
-1.9384001704767284,1,-0.8742683220637191,-0.8742683220637191,0
-0.8742683220637191,-1,-1.8478375700096923,-1.8478375700096923,0
-1.8478375700096923,1,-0.73525697410579,-0.73525697410579,0
3.8696962864454516,-1,-2.7053550257350496,2.7053550257350496,0
2.7053550257350496,-1,-1.506542040542509,1.506542040542509,0
1.506542040542509,1,-2.6435704056862197,2.6435704056862197,0
2.6435704056862197,1,-3.5863160021688714,3.5863160021688714,0
3.5863160021688714,1,-4.578107266381952,4.578107266381952,0
4.578107266381952,1,-5.504722126583109,5.504722126583109,0
5.504722126583109,-1,-4.360351105501112,4.360351105501112,0
4.360351105501112,-1,-3.3202545775899512,3.3202545775899512,0
3.3202545775899512,-1,-2.298967979650017,2.298967979650017,0
2.298967979650017,-1,-1.2947194484080957,1.2947194484080957,0
1.2947194484080957,1,-2.2123004236415067,2.2123004236415067,0
2.2123004236415067,-1,-1.1847300609538653,1.1847300609538653,0
1.1847300609538653,1,-2.079438358300833,2.079438358300833,0
2.079438358300833,-1,-1.2928037993931136,1.2928037993931136,0
1.2928037993931136,1,-2.315198578224892,2.315198578224892,0
2.315198578224892,1,-3.2555296907257194,3.2555296907257194,0
3.2555296907257194,1,-4.069692451860531,4.069692451860531,0
4.069692451860531,1,-5.166462425747449,5.166462425747449,0
5.166462425747449,-1,-4.114143541389621,4.114143541389621,0
4.114143541389621,1,-5.2159887219077135,5.2159887219077135,0
-4.754703840386175,1,-3.681014604813454,-3.681014604813454,0
-3.681014604813454,1,-2.953456533432162,-2.953456533432162,0
-2.953456533432162,-1,-3.9198753006864906,-3.9198753006864906,0
-3.9198753006864906,-1,-4.931175159633809,-4.931175159633809,0
-4.931175159633809,-1,-5.792326965655915,-5.792326965655915,0
-5.792326965655915,-1,-6.697978853597374,-6.697978853597374,1
-1.2781501035667842,-1,-2.294038543531563,-2.294038543531563,0
-2.294038543531563,-1,-3.2360879480268783,-3.2360879480268783,0
-3.2360879480268783,-1,-4.2740885561809465,-4.2740885561809465,0
-4.2740885561809465,-1,-5.25927292945228,-5.25927292945228,0
-5.25927292945228,-1,-6.45067442301329,-6.45067442301329,1
4.434240510362306,1,-5.479736565012752,5.479736565012752,0
5.479736565012752,-1,-4.394383284319749,4.394383284319749,0
4.394383284319749,-1,-3.504941647078083,3.504941647078083,0
3.504941647078083,-1,-2.516024327229759,2.516024327229759,0
2.516024327229759,1,-3.4387392340654857,3.4387392340654857,0
3.4387392340654857,-1,-2.4087035052880843,2.4087035052880843,0
2.4087035052880843,1,-3.38591766276384,3.38591766276384,0
3.38591766276384,1,-4.344593121021397,4.344593121021397,0
4.344593121021397,-1,-3.4454729582529486,3.4454729582529486,0
3.4454729582529486,-1,-2.4985998569697934,2.4985998569697934,0
2.4985998569697934,1,-3.475385627342332,3.475385627342332,0
3.475385627342332,-1,-2.3918737151732143,2.3918737151732143,0
2.3918737151732143,-1,-1.2850138466465582,1.2850138466465582,0
1.2850138466465582,-1,-0.4079942795784326,0.4079942795784326,0
0.4079942795784326,1,-1.453056186001576,1.453056186001576,0
1.453056186001576,1,-2.4175490819661345,2.4175490819661345,0
2.4175490819661345,1,-3.5658116935052044,3.5658116935052044,0
3.5658116935052044,-1,-2.6067297970924166,2.6067297970924166,0
2.6067297970924166,-1,-1.7597187251285282,1.7597187251285282,0
1.7597187251285282,1,-2.5869504118652706,2.5869504118652706,0
-4.85705505635814,-1,-5.86870968486541,-5.86870968486541,0
-5.86870968486541,-1,-6.910351449863466,-6.910351449863466,1
2.5816928541268123,1,-3.598042389620896,3.598042389620896,0
3.598042389620896,-1,-2.5915260196634495,2.5915260196634495,0
2.5915260196634495,-1,-1.7395160861525854,1.7395160861525854,0
1.7395160861525854,-1,-0.5896096275029561,0.5896096275029561,0
0.5896096275029561,1,-1.5847012455303058,1.5847012455303058,0
1.5847012455303058,-1,-0.5374710772411998,0.5374710772411998,0
0.5374710772411998,1,-1.498965809210859,1.498965809210859,0
1.498965809210859,1,-2.4920877312023264,2.4920877312023264,0
2.4920877312023264,-1,-1.4680791743691144,1.4680791743691144,0
1.4680791743691144,1,-2.5219897524432686,2.5219897524432686,0
2.5219897524432686,1,-3.5690740953062994,3.5690740953062994,0
3.5690740953062994,1,-4.47029412595188,4.47029412595188,0
4.47029412595188,1,-5.401968928932479,5.401968928932479,0
5.401968928932479,-1,-4.448778025041711,4.448778025041711,0
4.448778025041711,1,-5.5932729947120485,5.5932729947120485,0
5.5932729947120485,-1,-4.557933439010461,4.557933439010461,0
4.557933439010461,1,-5.779690870173513,5.779690870173513,0
5.779690870173513,1,-6.795361285569334,6.795361285569334,1
-1.1808723386252975,-1,-2.201377936623972,-2.201377936623972,0
-2.201377936623972,-1,-3.4383831547382226,-3.4383831547382226,0
-3.4383831547382226,-1,-4.529655812930093,-4.529655812930093,0
-4.529655812930093,-1,-5.480230922134055,-5.480230922134055,0
-5.480230922134055,-1,-6.411218583480331,-6.411218583480331,1
