Mode,Density,Speed,Node_ID,Collided_Node,Collision_Count,Transmit_Count,Collision_Rate
기존,고밀도,고속,9,node[277],42,9733,0.43152162745299494
기존,고밀도,고속,9,node[20],2,9733,0.020548648926333093
기존,고밀도,고속,9,node[34],32,9733,0.3287783828213295
기존,고밀도,고속,9,node[173],19,9733,0.1952121648001644
기존,고밀도,고속,9,node[415],1,9733,0.010274324463166546
기존,고밀도,고속,9,node[348],1,9733,0.010274324463166546
기존,고밀도,고속,9,node[416],17,9733,0.1746635158738313
기존,고밀도,고속,9,node[441],1,9733,0.010274324463166546
기존,고밀도,고속,9,node[255],2,9733,0.020548648926333093
기존,고밀도,고속,9,node[313],3,9733,0.03082297338949964
기존,고밀도,고속,9,node[328],1,9733,0.010274324463166546
기존,고밀도,고속,9,node[184],126,9733,1.294564882358985
기존,고밀도,고속,10,node[130],25,8146,0.30689909157868894
기존,고밀도,고속,10,node[10],177,8146,2.1728455683771175
기존,고밀도,고속,10,node[202],61,8146,0.748833783452001
기존,고밀도,고속,10,node[11],41,8146,0.5033145101890499
기존,고밀도,고속,10,rsu[0],276,8146,3.3881659710287253
기존,고밀도,고속,10,node[14],47,8146,0.5769702921679352
기존,고밀도,고속,10,node[102],57,8146,0.6997299287994108
기존,고밀도,고속,10,node[181],3,8146,0.03682789098944267
기존,고밀도,고속,10,node[20],40,8146,0.4910385465259023
기존,고밀도,고속,10,node[263],45,8146,0.5524183648416401
기존,고밀도,고속,10,node[79],20,8146,0.24551927326295114
기존,고밀도,고속,10,node[124],5,8146,0.061379818315737786
기존,고밀도,고속,10,node[39],46,8146,0.5646943285047876
기존,고밀도,고속,10,node[256],42,8146,0.5155904738521974
기존,고밀도,고속,10,node[265],16,8146,0.1964154186103609
기존,고밀도,고속,10,node[282],25,8146,0.30689909157868894
기존,고밀도,고속,10,node[248],29,8146,0.35600294623127915
기존,고밀도,고속,10,node[275],26,8146,0.3191750552418365
기존,고밀도,고속,10,node[377],9,8146,0.110483672968328
기존,고밀도,고속,10,node[238],8,8146,0.09820770930518045
기존,고밀도,고속,10,node[323],15,8146,0.18413945494721334
기존,고밀도,고속,10,node[216],3,8146,0.03682789098944267
기존,고밀도,고속,10,node[156],11,8146,0.1350356002946231
기존,고밀도,고속,10,node[179],17,8146,0.20869138227350847
기존,고밀도,고속,10,node[379],17,8146,0.20869138227350847
기존,고밀도,고속,10,node[63],15,8146,0.18413945494721334
기존,고밀도,고속,10,node[169],13,8146,0.15958752762091824
기존,고밀도,고속,10,node[35],47,8146,0.5769702921679352
기존,고밀도,고속,10,node[296],2,8146,0.024551927326295114
기존,고밀도,고속,10,node[364],8,8146,0.09820770930518045
기존,고밀도,고속,10,node[71],1,8146,0.012275963663147557
기존,고밀도,고속,10,node[44],25,8146,0.30689909157868894
기존,고밀도,고속,10,node[23],18,8146,0.220967345936656
기존,고밀도,고속,10,node[110],1,8146,0.012275963663147557
기존,고밀도,고속,10,node[398],1,8146,0.012275963663147557
기존,고밀도,고속,10,node[155],136,8146,1.6695310581880678
기존,고밀도,고속,10,node[32],20,8146,0.24551927326295114
기존,고밀도,고속,10,node[276],2,8146,0.024551927326295114
기존,고밀도,고속,10,node[64],27,8146,0.3314510189049841
기존,고밀도,고속,10,node[360],13,8146,0.15958752762091824
기존,고밀도,고속,10,node[191],30,8146,0.3682789098944267
기존,고밀도,고속,10,node[406],24,8146,0.29462312791554135
기존,고밀도,고속,10,node[378],1,8146,0.012275963663147557
기존,고밀도,고속,10,node[184],38,8146,0.4664866191996072
기존,고밀도,고속,10,node[95],10,8146,0.12275963663147557
기존,고밀도,고속,10,node[340],9,8146,0.110483672968328
기존,고밀도,고속,10,node[68],29,8146,0.35600294623127915
기존,고밀도,고속,10,node[101],20,8146,0.24551927326295114
기존,고밀도,고속,10,node[401],18,8146,0.220967345936656
기존,고밀도,고속,10,node[268],18,8146,0.220967345936656
기존,고밀도,고속,10,node[374],11,8146,0.1350356002946231
기존,고밀도,고속,10,node[376],14,8146,0.1718634912840658
기존,고밀도,고속,10,node[342],6,8146,0.07365578197888534
기존,고밀도,고속,10,node[419],5,8146,0.061379818315737786
기존,고밀도,고속,10,node[423],112,8146,1.3749079302725264
기존,고밀도,고속,10,node[253],7,8146,0.0859317456420329
기존,고밀도,고속,10,node[126],11,8146,0.1350356002946231
