Time: 52.966961229317, Node: node[151], myRouteTimeout: 2.645901907618, deletePeriod: 5.291803815236
Time: 52.967558413538, Node: node[61], myRouteTimeout: 2.796567042592, deletePeriod: 5.593134085185
Time: 52.969946571568, Node: node[100], myRouteTimeout: 1.52779813261, deletePeriod: 3.05559626522
Time: 52.972078378786, Node: node[69], myRouteTimeout: 3.265836040895, deletePeriod: 6.531672081789
Time: 52.975381816212, Node: node[147], myRouteTimeout: 2.598723007751, deletePeriod: 5.197446015501
Time: 52.977988872486, Node: node[151], myRouteTimeout: 2.632206956041, deletePeriod: 5.264413912081
Time: 53.012191035926, Node: node[22], myRouteTimeout: 2.847742192551, deletePeriod: 5.695484385102
Time: 53.012446843064, Node: node[22], myRouteTimeout: 2.925927026572, deletePeriod: 5.851854053145
Time: 53.013367650237, Node: node[22], myRouteTimeout: 2.921531673422, deletePeriod: 5.843063346844
Time: 53.013851535114, Node: node[22], myRouteTimeout: 2.917180688106, deletePeriod: 5.834361376211
Time: 53.014536855481, Node: node[22], myRouteTimeout: 2.912873402207, deletePeriod: 5.825746804413
Time: 53.064291077271, Node: node[49], myRouteTimeout: 2.717759769732, deletePeriod: 5.435519539463
Time: 53.070940365033, Node: node[150], myRouteTimeout: 1.011654807624, deletePeriod: 2.023309615247
Time: 53.073154862651, Node: node[120], myRouteTimeout: 1.111806170382, deletePeriod: 2.223612340763
Time: 53.073735466183, Node: node[120], myRouteTimeout: 1.112189348578, deletePeriod: 2.224378697156
Time: 53.075505286113, Node: node[134], myRouteTimeout: 2.800988012972, deletePeriod: 5.601976025945
Time: 53.076416913229, Node: node[134], myRouteTimeout: 2.797076259444, deletePeriod: 5.594152518889
Time: 53.076751813445, Node: node[93], myRouteTimeout: 2.651988104161, deletePeriod: 5.303976208321
Time: 53.080517554768, Node: node[134], myRouteTimeout: 2.790051707994, deletePeriod: 5.580103415987
Time: 53.0811064426, Node: node[93], myRouteTimeout: 2.645027905285, deletePeriod: 5.29005581057
Time: 53.08121832612, Node: node[110], myRouteTimeout: 2.398184862416, deletePeriod: 4.796369724831
