density	speed	localCbr
100	10	7.705958
100	10	30.544145
100	10	14.771344
100	10	9.602528
100	10	24.664749
100	10	56.301114
100	10	34.06212
100	10	50.549931
100	10	47.727987
100	10	45.846735
100	10	37.329119
100	10	7.682396
100	10	50.927928
100	10	13.679396
100	10	43.786998
100	10	31.10826
100	10	21.659834
100	10	5.989854
100	10	40.974944
100	10	31.384379
100	10	50.536215
100	10	36.712458
100	10	42.626628
100	10	65.00665
100	10	36.089592
100	10	44.829701
100	10	47.550594
100	10	24.279136
100	10	41.32923
100	10	42.157885
100	10	15.245302
100	10	25.606534
100	10	23.911531
100	10	22.511173
100	10	26.87252
100	10	27.599826
100	10	37.149024
100	10	30.343208
100	10	7.883118
100	10	29.157851
100	10	29.291405
100	10	43.294139
100	10	40.115729
100	10	13.714739
100	10	36.232184
100	10	55.371613
100	10	5.290208
100	10	50.515317
100	10	22.913786
100	10	26.251448
100	10	30.86726
100	10	15.726179
100	10	42.870676
100	10	39.152421
100	10	13.465829
100	10	12.378622
100	10	9.928053
100	10	7.424269
100	10	26.029909
100	10	37.913581
100	10	31.400781
100	10	34.865197
100	10	24.397054
100	10	15.644259
100	10	28.918467
100	10	2.763379
100	10	16.652308
100	10	0.64214
100	10	28.646929
100	10	12.925126
100	10	23.535015
100	10	5.331638
100	10	42.970758
100	10	40.29969
100	10	43.080844
100	10	37.614623
100	10	64.807661
100	10	56.672982
100	10	38.416398
100	10	49.128106
100	10	36.058547
100	10	39.272152
100	10	40.872767
100	10	39.340441
100	10	43.446648
100	10	10.908534
100	10	15.100564
100	10	83.343685
100	10	58.376168
100	10	31.793546
100	10	46.380942
100	10	52.137626
100	10	33.160433
100	10	39.507082
100	10	31.247148
100	10	14.270453
100	10	15.88629
100	10	10.967399
100	10	21.804219
100	10	18.040498
100	10	12.524083
100	10	21.682086
100	10	22.971744
100	10	20.109867
100	10	18.822623
100	10	13.09593
100	10	28.488364
100	10	28.056964
100	10	26.429006
100	10	35.555326
100	10	28.333954
100	10	12.872039
100	10	10.88231
100	10	29.884274
100	10	8.059129
100	10	31.172327
100	10	27.94623
100	10	28.621654
100	10	11.191936
100	10	25.015192
100	10	8.076609
100	10	18.638001
100	10	21.553063
100	10	30.508465
100	10	24.47349
100	10	23.868883
100	10	27.076152
100	10	46.862259
100	10	39.836686
100	10	38.787471
100	10	46.665625
100	10	34.544398
100	10	38.483578
100	10	11.666067
100	10	24.232255
100	10	24.895217
100	10	12.172195
100	10	25.645018
100	10	9.472896
100	10	27.958252
100	10	22.9169
100	10	28.363218
100	10	26.009055
100	10	8.740193
100	10	6.902623
100	10	27.301135
100	10	31.412114
100	10	33.379
100	10	15.439601
100	10	18.743107
100	10	22.476342
100	10	9.919801
100	10	16.496735
100	10	18.597781
100	10	41.825408
100	10	28.351938
100	10	39.047969
100	10	29.480613
100	10	11.547383
100	10	0.221517
100	10	9.23992
100	10	5.349645
100	10	0.0
100	10	15.058154
100	10	14.974834
100	10	3.006823
100	10	0.70835
100	10	8.887773
100	10	3.073966
100	10	0.708348
100	10	10.545032
100	10	10.35788
100	10	11.289645
100	10	3.511841
100	10	11.057871
100	10	33.065575
100	10	46.677566
100	10	13.885717
100	10	33.916995
100	10	17.697402
100	10	8.483768
100	10	25.43706
100	10	16.228864
100	10	15.495855
100	10	4.524828
100	10	13.967784
100	10	10.145762
100	10	8.240968
100	10	16.50475
100	10	2.373159
100	10	3.971309
100	10	4.605749
100	10	2.44348
100	10	17.076801
100	10	16.197978
100	10	4.430121
100	10	4.501185
100	10	5.5076
100	10	6.441924
100	10	21.342288
100	10	6.641877
100	10	18.501301
100	10	12.057337
100	10	29.130782
100	10	51.807748
100	10	21.992458
100	10	5.477737
100	10	25.96956
100	10	5.313039
100	10	5.849044
100	10	26.187881
100	10	16.963607
100	10	11.397614
100	10	7.469449
100	10	7.468595
100	10	14.750719
100	10	9.28242
100	10	21.37595
100	10	20.611788
100	10	25.150488
100	10	11.179905
100	10	9.818638
100	10	44.543186
100	10	19.084364
100	10	23.940794
100	10	40.25899
100	10	23.416404
100	10	20.13838
100	10	20.719623
100	10	1.319899
100	10	2.268608
100	10	14.056171
100	10	16.169636
100	10	24.801621
100	10	7.013251
100	10	7.224883
100	10	25.419848
100	10	13.058609
100	10	11.264082
100	10	10.398303
100	10	32.981617
100	10	35.5544
100	10	21.974428
100	10	33.129744
100	10	2.329061
100	10	6.956185
100	10	6.611176
100	10	23.590916
100	10	24.987304
100	10	9.5276
100	10	8.816594
100	10	100.0
100	10	51.692972
100	10	18.631393
100	10	25.797011
100	10	18.629718
100	10	9.31331
100	10	20.622359
100	10	7.373946
100	10	24.639563
100	10	7.39798
100	10	8.379274
100	10	19.984135
100	10	10.894257
100	10	4.341074
100	10	0.0
100	10	6.495733
100	10	0.819885
100	10	16.84023
100	10	6.558021
100	10	4.584581
100	10	21.026546
100	10	0.0
100	10	10.357586
100	10	12.26876
100	10	5.789221
100	10	0.0
100	10	22.604996
100	10	22.620361
100	10	0.0
100	10	2.822015
100	10	7.805395
100	10	28.202085
100	10	22.939264
100	10	33.567564
100	10	31.236348
100	10	25.905447
100	10	22.251176
100	10	13.759788
100	10	15.277137
100	10	6.254853
100	10	1.857743
100	10	11.376013
100	10	23.859418
100	10	42.447315
100	10	48.059847
100	10	39.954853
100	10	32.592701
100	10	29.561645
100	10	18.87552
100	10	13.282422
100	10	16.865025
100	10	3.599512
100	10	25.151531
100	10	5.853087
100	10	7.842509
100	10	13.06525
100	10	15.289135
100	10	10.47287
100	10	7.163269
100	10	14.369613
100	10	34.662805
100	10	35.756658
100	10	38.351622
100	10	13.547782
100	10	25.443151
100	10	12.945683
100	10	50.586649
100	10	45.438562
100	10	21.479418
100	10	20.325891
100	10	1.907956
100	10	51.940119
100	10	18.852985
100	10	7.2868
100	10	27.151075
100	10	19.227318
100	10	38.727114
100	10	21.696715
100	10	13.582353
100	10	26.917586
100	10	26.504396
100	10	5.860025
100	10	2.196143
100	10	27.321421
100	10	26.909763
100	10	18.158937
100	10	25.033521
100	10	37.45688
100	10	34.160625
100	10	19.508663
